gene_symbol	geneID	KO12_vs_WT6_dtu_log2fold	KO12_vs_WT6_dtu_gene_padj	dtu_KO12_mean	dtu_WT6_mean	transcript_id	KO12_vs_WT6_exon_gene_padj	KO12_vs_WT6_deg_log2fold	KO12_vs_WT6_deg_pval
Dst	ENSMUSG00000026131	-1.6443803603205098	0.006082977062801078	0.5268902385877801	1.647130334360149	ENSMUST00000185269.6	0	-1.1772932190797762	4.453366876319734e-6
Dst	ENSMUSG00000026131	-1.7875074965107343	0.006082977062801078	0.9404062674491955	3.246451272979903	ENSMUST00000182018.7	0	-1.1772932190797762	4.453366876319734e-6
Dst	ENSMUSG00000026131	-1.3594466862809471	0.006082977062801078	0.8671958080026704	2.2251095613531544	ENSMUST00000183100.7	0	-1.1772932190797762	4.453366876319734e-6
Arid5a	ENSMUSG00000037447	-1.2379519114814372	0.012492101458129129	1.1184132535535534	2.637928156903895	ENSMUST00000126413.7	0.0130719673611038	-1.1750763623928622	2.0508286013934808e-4
Arid5a	ENSMUSG00000037447	-1.0074882213391738	0.012492101458129129	4.6541079606694495	9.356655254978747	ENSMUST00000116629.8	0.0130719673611038	-1.1750763623928622	2.0508286013934808e-4
Arid5a	ENSMUSG00000037447	-2.06421304316516	0.012492101458129129	2.149465985353311	8.989191249631848	ENSMUST00000115032.7	0.0130719673611038	-1.1750763623928622	2.0508286013934808e-4
Lman2l	ENSMUSG00000001143	-5.220340172960712	8.522438670909851e-6	0.031171945256802468	1.1620983498618997	ENSMUST00000192969.5	0.0262610451556342	-1.1395154085464307	1.3173930764276849e-4
Lman2l	ENSMUSG00000001143	-1.1977078602248068	8.522438670909851e-6	2.658453158049173	6.097825672858136	ENSMUST00000125304.7	0.0262610451556342	-1.1395154085464307	1.3173930764276849e-4
Lman2l	ENSMUSG00000001143	-1.3544494821439712	8.522438670909851e-6	2.5473167293300287	6.513476784289827	ENSMUST00000001171.12	0.0262610451556342	-1.1395154085464307	1.3173930764276849e-4
Lman2l	ENSMUSG00000001143	-3.4550964380659406	8.522438670909851e-6	0.09300502870429998	1.019985732452456	ENSMUST00000193502.1	0.0262610451556342	-1.1395154085464307	1.3173930764276849e-4
